#Conference	Forum	Status	Decision
iclr_2022	zzk231Ms1Ih	complete	8: accept, good paper
iclr_2022	zz9hXVhf40	complete	6: marginally above the acceptance threshold
iclr_2022	zyrhwrd9EYs	no_revision	3: reject, not good enough
iclr_2022	zxEfpcmTDnF	complete	6: marginally above the acceptance threshold
iclr_2022	zuqcmNVK4c2	complete	5: marginally below the acceptance threshold
iclr_2022	zuDmDfeoB_1	no_revision	5: marginally below the acceptance threshold
iclr_2022	zrdUVVAvcP2	complete	Reject
iclr_2022	zrW-LVXj2k1	complete	5: marginally below the acceptance threshold
iclr_2022	zq1iJkNk3uN	complete	Accept (Poster)
iclr_2022	ziRLU3Y2PN_	complete	8: accept, good paper
iclr_2022	zhynF6JnC4q	complete	3: reject, not good enough
iclr_2022	zfmB5vgfaCt	complete	5: marginally below the acceptance threshold
iclr_2022	zf_Ll3HZWgy	complete	5: marginally below the acceptance threshold
iclr_2022	zeGpMIt6Pfq	complete	6: marginally above the acceptance threshold
iclr_2022	zbZL1s-pBF	complete	5: marginally below the acceptance threshold
iclr_2022	zaALYtvbRlH	no_revision	3: reject, not good enough
iclr_2022	zXne1klXIQ	complete	5: marginally below the acceptance threshold
iclr_2022	zXM0b4hi5_B	complete	Accept (Spotlight)
iclr_2022	zU2v47WF0Ku	complete	Reject
iclr_2022	zRb7IWkTZAU	no_revision	Reject
iclr_2022	zRJu6mU2BaE	complete	6: marginally above the acceptance threshold
iclr_2022	zPLQSnfd14w	complete	Reject
iclr_2022	zNR43c03lRy	complete	6: marginally above the acceptance threshold
iclr_2022	zNHzqZ9wrRB	complete	Accept (Spotlight)
iclr_2022	zLb9oSWy933	complete	6: marginally above the acceptance threshold
iclr_2022	zKbMQ2NY1y	complete	Reject
iclr_2022	zIUyj55nXR	complete	8: accept, good paper
iclr_2022	zHZ1mvMUMW8	no_revision	3: reject, not good enough
iclr_2022	zFyCvjXof60	complete	Reject
iclr_2022	zFlFjoyOW-z	no_revision	3: reject, not good enough
iclr_2022	zBhwgP7kt4	no_revision	6: marginally above the acceptance threshold
iclr_2022	zBOI9LFpESK	complete	Accept (Poster)
iclr_2022	zAyZFRptzvh	complete	Reject
iclr_2022	z8xVlqWwRrK	complete	8: accept, good paper
iclr_2022	z8j0bPU4DIw	no_revision	Reject
iclr_2022	z7p2V6KROOV	complete	6: marginally above the acceptance threshold
iclr_2022	z7DAilcTx7	no_pdf	5: marginally below the acceptance threshold
iclr_2022	z3Tf4kdOE5D	no_revision	5: marginally below the acceptance threshold
iclr_2022	z2zmSDKONK	complete	6: marginally above the acceptance threshold
iclr_2022	z2B0JJeNdvT	no_revision	3: reject, not good enough
iclr_2022	z1-I6rOKv1S	complete	8: accept, good paper
iclr_2022	z-5BjnU3-OQ	no_pdf	6: marginally above the acceptance threshold
iclr_2022	yztpblfGkZ-	complete	3: reject, not good enough
iclr_2022	yzDTTtlIlMr	complete	8: accept, good paper
iclr_2022	yuv0mwPOlz3	complete	5: marginally below the acceptance threshold
iclr_2022	yrD7B9N_54F	complete	Reject
iclr_2022	yql6px0bcT	complete	3: reject, not good enough
iclr_2022	youe3QQepVB	complete	Reject
iclr_2022	yjxVspo7gXt	complete	5: marginally below the acceptance threshold
iclr_2022	yjsA8Uin-Y	complete	6: marginally above the acceptance threshold
iclr_2022	yjMQuLLcGWK	complete	6: marginally above the acceptance threshold
iclr_2022	yhjfOvBvvmz	complete	5: marginally below the acceptance threshold
iclr_2022	yhCp5RcZD7	complete	10: strong accept, should be highlighted at the conference
iclr_2022	ygGMP1zkiD1	complete	Reject
iclr_2022	yfe1VMYAXa4	complete	Accept (Poster)
iclr_2022	yeP_zx9vqNm	complete	Accept (Spotlight)
iclr_2022	ydopy-e6Dg	complete	6: marginally above the acceptance threshold
iclr_2022	ybsh6zEzIKA	complete	3: reject, not good enough
iclr_2022	y_tIL5vki1l	complete	6: marginally above the acceptance threshold
iclr_2022	y_op4lLLaWL	complete	5: marginally below the acceptance threshold
iclr_2022	yXBb-0cPSKO	no_revision	3: reject, not good enough
iclr_2022	yV4_fWe4nM	complete	Reject
iclr_2022	ySQH0oDyp7	complete	Accept (Poster)
iclr_2022	yRYtnKAZqxU	complete	Reject
iclr_2022	yOBqNg-CqB0	complete	8: accept, good paper
iclr_2022	yK_jcv_aLX	complete	Reject
iclr_2022	yKIAXjkJc2F	complete	8: accept, good paper
iclr_2022	yCS5dckx_vj	complete	6: marginally above the acceptance threshold
iclr_2022	yBYVUDj7yF	complete	6: marginally above the acceptance threshold
iclr_2022	y8zhHLm7FsP	complete	3: reject, not good enough
iclr_2022	y7tKDxxTo8T	complete	Reject
iclr_2022	y1faDxZ_-0a	no_revision	3: reject, not good enough
iclr_2022	y1PXylgrXZ	complete	5: marginally below the acceptance threshold
iclr_2022	y0VvIg25yk	complete	Accept (Poster)
iclr_2022	xy_2w3J3kH	complete	6: marginally above the acceptance threshold
iclr_2022	xxyTjJFzy3C	complete	Reject
iclr_2022	xxU6qGx-2ew	complete	5: marginally below the acceptance threshold
iclr_2022	xwAw8QZkpWZ	complete	Reject
iclr_2022	xw04RdwI2kS	complete	6: marginally above the acceptance threshold
iclr_2022	xtZXWpXVbiK	complete	6: marginally above the acceptance threshold
iclr_2022	xspalMXAB0M	no_revision	5: marginally below the acceptance threshold
iclr_2022	xs-tJn58XKv	complete	3: reject, not good enough
iclr_2022	xp2D-1PtLc5	no_pdf	Reject
iclr_2022	xo_5lb5ond	complete	Reject
iclr_2022	xnYACQquaGV	complete	3: reject, not good enough
iclr_2022	xm6YD62D1Ub	complete	Accept (Poster)
iclr_2022	xkjqJYqRJy	complete	8: accept, good paper
iclr_2022	xiXOrugVHs	complete	5: marginally below the acceptance threshold
iclr_2022	xf0B7-7MRo6	no_revision	Reject
iclr_2022	xbx7Hxjbd79	complete	8: accept, good paper
iclr_2022	xbu1tzbjvd	complete	5: marginally below the acceptance threshold
iclr_2022	xaTensJtCP5	complete	8: accept, good paper
iclr_2022	xa6otUDdP2W	complete	8: accept, good paper
iclr_2022	xZ6H7wydGl	complete	6: marginally above the acceptance threshold
iclr_2022	xWRX16GCugt	no_pdf	1: strong reject
iclr_2022	xVlPHwnNKv	complete	3: reject, not good enough
iclr_2022	xVGrCe5fCXY	complete	6: marginally above the acceptance threshold
iclr_2022	xUdEO_yE-GV	complete	Reject
iclr_2022	xS8AMYiEav3	complete	8: accept, good paper
iclr_2022	xRK8xgFuiu	complete	3: reject, not good enough
iclr_2022	xQUe1pOKPam	complete	6: marginally above the acceptance threshold
iclr_2022	xP3cPq2hQC	complete	6: marginally above the acceptance threshold
iclr_2022	xOeWOPFXrTh	complete	5: marginally below the acceptance threshold
iclr_2022	xOHuV8s7Yl	complete	3: reject, not good enough
iclr_2022	xNOVfCCvDpM	complete	6: marginally above the acceptance threshold
iclr_2022	xNO7OEIcJc6	complete	6: marginally above the acceptance threshold
iclr_2022	xMJWUKJnFSw	complete	6: marginally above the acceptance threshold
iclr_2022	xLfAgCroImw	complete	Accept (Poster)
iclr_2022	xKZ4K0lTj_	complete	6: marginally above the acceptance threshold
iclr_2022	xFOyMwWPkz	complete	5: marginally below the acceptance threshold
iclr_2022	xENf4QUL4LW	complete	Accept (Poster)
iclr_2022	xDIvIqQ3DXD	complete	6: marginally above the acceptance threshold
iclr_2022	xD3RiCCfsY	complete	6: marginally above the acceptance threshold
iclr_2022	xCVJMsPv3RT	complete	6: marginally above the acceptance threshold
iclr_2022	x4tkHYGpTdq	complete	Reject
iclr_2022	x3F9PuOUKZc	complete	6: marginally above the acceptance threshold
iclr_2022	wzJnpBhRILm	no_revision	Reject
iclr_2022	wxVpa5z4DU1	complete	Reject
iclr_2022	wwDg3bbYBIq	complete	6: marginally above the acceptance threshold
iclr_2022	wv6g8fWLX2q	complete	8: accept, good paper
iclr_2022	wu5yYUutDGW	complete	6: marginally above the acceptance threshold
iclr_2022	wronZ3Mx_d	complete	6: marginally above the acceptance threshold
iclr_2022	wqD6TfbYkrn	complete	Accept (Poster)
iclr_2022	wogsFPHwftY	complete	8: accept, good paper
iclr_2022	wkMG8cdvh7-	complete	Accept (Poster)
iclr_2022	wk5-XVtitD	complete	3: reject, not good enough
iclr_2022	wgR0BQfG5vi	complete	6: marginally above the acceptance threshold
iclr_2022	wfZGut6e09	complete	8: accept, good paper
iclr_2022	wfRZkDvxOqj	complete	5: marginally below the acceptance threshold
iclr_2022	wbPObLm6ueA	complete	5: marginally below the acceptance threshold
iclr_2022	w_drCosT76	complete	5: marginally below the acceptance threshold
iclr_2022	wYqLTy4wkor	complete	Reject
iclr_2022	wTTjnvGphYj	complete	6: marginally above the acceptance threshold
iclr_2022	wRODLDHaAiW	complete	8: accept, good paper
iclr_2022	wQfgfb8VKTn	complete	6: marginally above the acceptance threshold
iclr_2022	wQStfB93RZZ	complete	6: marginally above the acceptance threshold
iclr_2022	wQ7RCayXUSl	complete	5: marginally below the acceptance threshold
iclr_2022	wNsNT56zDkG	complete	8: accept, good paper
iclr_2022	wMpS-Z_AI_E	complete	6: marginally above the acceptance threshold
iclr_2022	wMXYbJB-gX	complete	5: marginally below the acceptance threshold
iclr_2022	wIzUeM3TAU	complete	8: accept, good paper
iclr_2022	wIK1fWFXvU9	no_revision	3: reject, not good enough
iclr_2022	wENMvIsxNN	complete	6: marginally above the acceptance threshold
iclr_2022	wClmeg9u7G	complete	5: marginally below the acceptance threshold
iclr_2022	w8HXzn2FyKm	complete	5: marginally below the acceptance threshold
iclr_2022	w7Nb5dSMM-	complete	5: marginally below the acceptance threshold
iclr_2022	w60btE_8T2m	complete	6: marginally above the acceptance threshold
iclr_2022	w4cXZDDib1H	complete	Accept (Poster)
iclr_2022	w1UbdvWH_R3	complete	6: marginally above the acceptance threshold
iclr_2022	w01vBAcewNX	complete	Accept (Poster)
iclr_2022	w-CPUXXrAj	complete	6: marginally above the acceptance threshold
iclr_2022	vyn49BUAkoD	no_revision	5: marginally below the acceptance threshold
iclr_2022	vxlAHR9AyZ6	complete	5: marginally below the acceptance threshold
iclr_2022	vwj6aUeocyf	complete	6: marginally above the acceptance threshold
iclr_2022	vwLLQ-HwqhZ	complete	8: accept, good paper
iclr_2022	vtDzHJOsmfJ	no_revision	5: marginally below the acceptance threshold
iclr_2022	vruwp11pWnO	complete	Reject
iclr_2022	vrW3tvDfOJQ	complete	8: accept, good paper
iclr_2022	vr4Wo33bd1	no_revision	Reject
iclr_2022	vr39r4Rjt3z	complete	6: marginally above the acceptance threshold
iclr_2022	vqGi8Kp0wM	complete	8: accept, good paper
iclr_2022	vpiOnyOBTzQ	complete	6: marginally above the acceptance threshold
iclr_2022	voEpzgY8gsT	complete	5: marginally below the acceptance threshold
iclr_2022	vnF5gDNvcKX	complete	5: marginally below the acceptance threshold
iclr_2022	vnENCLwVBET	no_revision	Reject
iclr_2022	vkaMaq95_rX	complete	8: accept, good paper
iclr_2022	vkZtFD0zga8	complete	Reject
iclr_2022	viWF5cyz6i	no_revision	5: marginally below the acceptance threshold
